w_sma_20_100,w_breakout_50,Cumulative Return,Annualized Volatility,Sharpe Ratio,Max Drawdown,Total Costs,Final equity
0.0,1.0,-0.4757508683370445,0.1951120763192484,-0.5971781929636713,-0.5722224073276663,0.0031000000000000003,0.5242491316629555
0.1,0.9,-0.4797848490098561,0.19019041827555389,-0.6261377147178293,-0.5702785730418728,0.00312,0.5202151509901439
0.2,0.8,-0.4843114823648984,0.1862855324558573,-0.653051844418866,-0.5714687546520478,0.0031400000000000004,0.5156885176351016
0.30000000000000004,0.7,-0.4893171220477307,0.18346235450687032,-0.6771025455947748,-0.5731535031422423,0.00316,0.5106828779522693
0.4,0.6,-0.49478685812055834,0.1817712930040303,-0.6975333775788587,-0.5752064830742122,0.0031800000000000005,0.5052131418794417
0.5,0.5,-0.5007045881136626,0.18124403968081185,-0.7137352537625965,-0.5776223746252452,0.0031999999999999997,0.4992954118863374
0.6000000000000001,0.3999999999999999,-0.5070530928521266,0.18189071553983327,-0.7253200195598505,-0.5803949655581018,0.00322,0.49294690714787337
0.7000000000000001,0.29999999999999993,-0.5138141165783989,0.18369892324038153,-0.7321637583889004,-0.5835171768350074,0.00324,0.4861858834216011
0.8,0.19999999999999996,-0.5209684508702892,0.18663490541715072,-0.7344093027179306,-0.5869810915965656,0.00326,0.4790315491297108
0.9,0.09999999999999998,-0.5284960218369017,0.19064656556248843,-0.732429283668543,-0.5907779873458885,0.00328,0.47150397816309825
1.0,0.0,-0.5363759800617893,0.19566775289195146,-0.7267617788092636,-0.5948983711618198,0.0033000000000000004,0.4636240199382107
